geo_id,geo_id2,naics_id,naics_meaning,zip_code,location,year,num_establishments,num_paid_employees,first_quarter_payroll,annual_payroll
8610000US01535,1535,0,Total for all sectors,1535.0,"North Brookfield, MA",2016,76,734,8474,32367
8610000US01536,1536,0,Total for all sectors,1536.0,"North Grafton, MA",2016,144,1885,26314,112321
8610000US01537,1537,0,Total for all sectors,1537.0,"North Oxford, MA",2016,66,806,8805,39299
8610000US01538,1538,0,Total for all sectors,1538.0,"North Uxbridge, MA",2016,15,127,1067,4453
8610000US01540,1540,0,Total for all sectors,1540.0,"Oxford, MA",2016,236,4551,61437,247008
8610000US01541,1541,0,Total for all sectors,1541.0,"Princeton, MA",2016,70,1273,4687,18632
8610000US01542,1542,0,Total for all sectors,1542.0,"Rochdale, MA",2016,34,457,6651,24496
8610000US01543,1543,0,Total for all sectors,1543.0,"Rutland, MA",2016,117,940,8006,37937
8610000US01545,1545,0,Total for all sectors,1545.0,"Shrewsbury, MA",2016,801,11363,119063,508524
8610000US01550,1550,0,Total for all sectors,1550.0,"Southbridge, MA",2016,317,5396,55286,226164
8610000US01560,1560,0,Total for all sectors,1560.0,"South Grafton, MA",2016,60,340,4320,19350
8610000US01561,1561,0,Total for all sectors,1561.0,"South Lancaster, MA",2016,27,631,6591,25707
8610000US01562,1562,0,Total for all sectors,1562.0,"Spencer, MA",2016,220,2927,31011,123151
8610000US01564,1564,0,Total for all sectors,1564.0,"Sterling, MA",2016,195,2233,20530,93779
8610000US01566,1566,0,Total for all sectors,1566.0,"Sturbridge, MA",2016,237,3611,25912,115456
8610000US01568,1568,0,Total for all sectors,1568.0,"Upton, MA",2016,159,703,6210,30610
8610000US01569,1569,0,Total for all sectors,1569.0,"Uxbridge, MA",2016,268,3628,39963,174855
8610000US01570,1570,0,Total for all sectors,1570.0,"Webster, MA",2016,375,6489,68756,283514
8610000US01571,1571,0,Total for all sectors,1571.0,"Dudley, MA",2016,161,2565,23119,102446
8610000US01581,1581,0,Total for all sectors,1581.0,"Westborough, MA",2016,933,23998,406956,1649048
8610000US01583,1583,0,Total for all sectors,1583.0,"West Boylston, MA",2016,240,2520,22055,100250
8610000US01585,1585,0,Total for all sectors,1585.0,"West Brookfield, MA",2016,82,752,6375,27377
8610000US01588,1588,0,Total for all sectors,1588.0,"Whitinsville, MA",2016,213,3244,29466,126691
8610000US01590,1590,0,Total for all sectors,1590.0,"Sutton, MA",2016,152,1849,20208,88938
8610000US01601,1601,0,Total for all sectors,1601.0,"Worcester, MA",2016,7,126,1576,6641
8610000US01602,1602,0,Total for all sectors,1602.0,"Worcester, MA",2016,306,2832,22367,92209
8610000US01603,1603,0,Total for all sectors,1603.0,"Worcester, MA",2016,410,7053,57333,246271
8610000US01604,1604,0,Total for all sectors,1604.0,"Worcester, MA",2016,715,9819,83694,367117
8610000US01605,1605,0,Total for all sectors,1605.0,"Worcester, MA",2016,591,23836,363012,1446449
8610000US01606,1606,0,Total for all sectors,1606.0,"Worcester, MA",2016,454,10450,115713,485399
8610000US01607,1607,0,Total for all sectors,1607.0,"Worcester, MA",2016,142,2914,25266,116150
8610000US01608,1608,0,Total for all sectors,1608.0,"Worcester, MA",2016,525,13691,193194,777469
8610000US01609,1609,0,Total for all sectors,1609.0,"Worcester, MA",2016,526,11351,95069,403501
8610000US01610,1610,0,Total for all sectors,1610.0,"Worcester, MA",2016,365,9678,81226,349302
8610000US01611,1611,0,Total for all sectors,1611.0,"Cherry Valley, MA",2016,32,326,2224,9815
8610000US01612,1612,0,Total for all sectors,1612.0,"Paxton, MA",2016,73,806,5122,22049
8610000US01613,1613,0,Total for all sectors,1613.0,"Worcester, MA",2016,25,238,3909,12908
8610000US01614,1614,0,Total for all sectors,1614.0,"Worcester, MA",2016,1,a,D,D
8610000US01615,1615,0,Total for all sectors,1615.0,"Worcester, MA",2016,10,387,6554,25989
8610000US01653,1653,0,Total for all sectors,1653.0,"Worcester, MA",2016,5,g,D,D
8610000US01655,1655,0,Total for all sectors,1655.0,"Worcester, MA",2016,6,63,703,3036
8610000US01701,1701,0,Total for all sectors,1701.0,"Framingham, MA",2016,1210,29559,578976,2443015
8610000US01702,1702,0,Total for all sectors,1702.0,"Framingham, MA",2016,904,12979,227367,922967
8610000US01703,1703,0,Total for all sectors,1703.0,"Framingham, MA",2016,6,21,233,1172
8610000US01704,1704,0,Total for all sectors,1704.0,"Framingham, MA",2016,5,29,196,558
8610000US01718,1718,0,Total for all sectors,1718.0,"Village of Nagog Woods, MA",2016,3,1,8,96
8610000US01719,1719,0,Total for all sectors,1719.0,"Boxborough, MA",2016,128,4078,123705,588483
8610000US01720,1720,0,Total for all sectors,1720.0,"Acton, MA",2016,712,8775,117442,476812
8610000US01721,1721,0,Total for all sectors,1721.0,"Ashland, MA",2016,411,5053,49800,202788
